ID,STATION,NAME,DATE,PRCP,TMAX,TMIN
1,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/1/17,0,26,18
2,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/2/17,0,31,20
3,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/3/17,0.01,30,25
4,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/4/17,0,25,-6
5,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/5/17,0.01,2,-8
6,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/6/17,0,0,-11
7,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/7/17,0,5,-11
8,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/8/17,0,7,-5
9,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/9/17,0,17,-5
10,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/10/17,0.16,25,15
11,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/11/17,0.22,25,2
12,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/12/17,0.04,8,2
13,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/13/17,0,12,-10
14,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/14/17,0,8,-9
15,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/15/17,0,22,2
16,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/16/17,0,32,3
17,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/17/17,0.27,30,11
18,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/18/17,0,34,25
19,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/19/17,0,40,26
20,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/20/17,0,37,29
21,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/21/17,0,35,33
22,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/22/17,0.02,36,33
23,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/23/17,0,38,32
24,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/24/17,0,33,29
25,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/25/17,0.06,31,28
26,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/26/17,0.01,28,26
27,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/27/17,0,27,18
28,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/28/17,0,29,17
29,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/29/17,0,25,22
30,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/30/17,0.02,26,14
