id,date,Minneapolis
1,10/1/12,
2,10/1/12,67
3,10/1/12,66
4,10/1/12,66
5,10/1/12,65
6,10/1/12,65
7,10/1/12,64
8,10/1/12,64
9,10/1/12,63
10,10/1/12,63
11,10/1/12,62
12,10/1/12,62
13,10/2/12,61
14,10/2/12,61
15,10/2/12,60
16,10/2/12,60
17,10/2/12,59
18,10/2/12,59
19,10/2/12,58
20,10/2/12,58
21,10/2/12,57
22,10/2/12,57
23,10/2/12,56
24,10/2/12,56
25,10/2/12,55
26,10/2/12,55
27,10/2/12,55
28,10/2/12,55
29,10/2/12,55
30,10/2/12,55
31,10/2/12,48
32,10/2/12,42
33,10/2/12,33
34,10/2/12,30
35,10/2/12,33
36,10/2/12,32
37,10/3/12,37
38,10/3/12,36
39,10/3/12,39
40,10/3/12,41
41,10/3/12,44
42,10/3/12,44
43,10/3/12,47
44,10/3/12,50
45,10/3/12,75
46,10/3/12,57
47,10/3/12,70
48,10/3/12,93
49,10/3/12,84
50,10/3/12,75
51,10/3/12,57
52,10/3/12,53
53,10/3/12,49
54,10/3/12,45
55,10/3/12,37
56,10/3/12,28
57,10/3/12,30
58,10/3/12,26
59,10/3/12,26
60,10/3/12,26
61,10/4/12,30
62,10/4/12,34
63,10/4/12,41
64,10/4/12,47
65,10/4/12,47
66,10/4/12,47
67,10/4/12,54
68,10/4/12,71
69,10/4/12,58
70,10/4/12,76
71,10/4/12,71
72,10/4/12,71
73,10/4/12,76
74,10/4/12,76
75,10/4/12,71
76,10/4/12,54
77,10/4/12,45
78,10/4/12,35
79,10/4/12,27
80,10/4/12,25
81,10/4/12,25
82,10/4/12,23
83,10/4/12,23
84,10/4/12,25
85,10/5/12,32
86,10/5/12,30
87,10/5/12,37
88,10/5/12,42
89,10/5/12,45
90,10/5/12,45
91,10/5/12,48
92,10/5/12,24
93,10/5/12,
94,10/5/12,31
95,10/5/12,62
96,10/5/12,70
97,10/5/12,70
98,10/5/12,70
99,10/5/12,70
100,10/5/12,61
101,10/5/12,65
102,10/5/12,70
103,10/5/12,
104,10/5/12,
105,10/5/12,
106,10/5/12,
107,10/5/12,
108,10/5/12,
109,10/6/12,52
110,10/6/12,52
111,10/6/12,
112,10/6/12,56
113,10/6/12,56
114,10/6/12,56
115,10/6/12,56
116,10/6/12,
117,10/6/12,28
118,10/6/12,56
119,10/6/12,60
120,10/6/12,64
121,10/6/12,69
122,10/6/12,80
123,10/6/12,80
124,10/6/12,60
125,10/6/12,56
126,10/6/12,45
127,10/6/12,45
128,10/6/12,42
129,10/6/12,42
130,10/6/12,45
131,10/6/12,48
132,10/6/12,48
133,10/7/12,52
134,10/7/12,52
135,10/7/12,56
136,10/7/12,55
137,10/7/12,55
138,10/7/12,59
139,10/7/12,62
140,10/7/12,65
141,10/7/12,69
142,10/7/12,69
143,10/7/12,69
144,10/7/12,69
145,10/7/12,74
146,10/7/12,74
147,10/7/12,69
148,10/7/12,64
149,10/7/12,55
150,10/7/12,59
151,10/7/12,41
152,10/7/12,41
153,10/7/12,41
154,10/7/12,45
155,10/7/12,41
156,10/7/12,38
157,10/8/12,38
158,10/8/12,41
159,10/8/12,48
160,10/8/12,51
161,10/8/12,59
162,10/8/12,64
163,10/8/12,69
164,10/8/12,69
165,10/8/12,
166,10/8/12,80
167,10/8/12,79
168,10/8/12,79
169,10/8/12,74
170,10/8/12,74
171,10/8/12,
172,10/8/12,51
173,10/8/12,44
174,10/8/12,42
