id,Date,Minneapolis
1,10/1/12,
2,10/1/12,3
3,10/1/12,3
4,10/1/12,3
5,10/1/12,3
6,10/1/12,3
7,10/1/12,3
8,10/1/12,3
9,10/1/12,3
10,10/1/12,3
11,10/1/12,3
12,10/1/12,3
13,10/2/12,4
14,10/2/12,4
15,10/2/12,4
16,10/2/12,4
17,10/2/12,4
18,10/2/12,4
19,10/2/12,4
20,10/2/12,4
21,10/2/12,4
22,10/2/12,4
23,10/2/12,4
24,10/2/12,4
25,10/2/12,4
26,10/2/12,4
27,10/2/12,4
28,10/2/12,5
29,10/2/12,4
30,10/2/12,5
31,10/2/12,7
32,10/2/12,6
33,10/2/12,5
34,10/2/12,5
35,10/2/12,3
36,10/2/12,5
37,10/3/12,5
38,10/3/12,4
39,10/3/12,6
40,10/3/12,5
41,10/3/12,5
42,10/3/12,4
43,10/3/12,4
44,10/3/12,4
45,10/3/12,0
46,10/3/12,0
47,10/3/12,1
48,10/3/12,0
49,10/3/12,0
50,10/3/12,0
51,10/3/12,0
52,10/3/12,1
53,10/3/12,2
54,10/3/12,3
55,10/3/12,3
56,10/3/12,3
57,10/3/12,2
58,10/3/12,4
59,10/3/12,3
60,10/3/12,3
61,10/4/12,3
62,10/4/12,2
63,10/4/12,2
64,10/4/12,3
65,10/4/12,2
66,10/4/12,2
67,10/4/12,2
68,10/4/12,0
69,10/4/12,2
70,10/4/12,2
71,10/4/12,3
72,10/4/12,1
73,10/4/12,2
74,10/4/12,2
75,10/4/12,1
76,10/4/12,0
77,10/4/12,2
78,10/4/12,2
79,10/4/12,4
80,10/4/12,4
81,10/4/12,4
82,10/4/12,5
83,10/4/12,5
84,10/4/12,4
85,10/5/12,2
86,10/5/12,3
87,10/5/12,3
88,10/5/12,3
89,10/5/12,5
90,10/5/12,5
91,10/5/12,5
92,10/5/12,2
93,10/5/12,0
94,10/5/12,4
95,10/5/12,9
96,10/5/12,5
97,10/5/12,9
98,10/5/12,8
99,10/5/12,7
100,10/5/12,9
101,10/5/12,9
102,10/5/12,8
103,10/5/12,10
104,10/5/12,12
105,10/5/12,10
106,10/5/12,12
107,10/5/12,8
